Unique name,superclass 1
absolute activity of b,property
absolute design pressure,design pressure
absolute humidity,property
absolute operating pressure,operating pressure
absolute pressure,pressure
absolute temperature,indirect property
absorbed dose,property
absorbed dose rate,rate
absorption factor,ratio
ac power supply voltage range,supply voltage range
acceleration,property
acceleration due to gravity,indirect property
acceptor number density,indirect property
accuracy,indirect property
acentric factor,indirect property
acoustic energy,indirect property
acoustic impedance,property
active energy,indirect property
active power,indirect property
activity (radioactivity),property
activity coefficient of b,ratio
activity coefficient of solute b (especially in a dilute liquide solution),ratio
activity of solute b,indirect property
activity of solvent a,ratio
actual volume flow rate,indirect property
adjustment referance temperature,indirect property
admittance,property
affinity (of a chemical reaction),property
air consumption,indirect property
air gap,gap
air passage,indirect property
air refreshment rate,indirect property
alarm limit HH,set point
alarm limit LL,set point
alarm limit WH,set point
alarm limit WL,set point
alfven number,property
allowable back pressure,back pressure
allowable nozzle torque,torque
allowable pressure drop gradient,indirect property
allowable temperature,indirect property
alpha disintegration energy,property
ambient operating humidity,indirect property
ambient operating temperature,indirect property
ambient storage humidity,indirect property
angle,property
angle of optical rotation,indirect property
angular acceleration,acceleration
angular cross-section,indirect property
angular frequency,frequency
angular impulse,indirect property
angular momentum,momentum
angular orientation,indirect property
angular reciprocal lattice vector,indirect property
angular repetency,indirect property
angular velocity,velocity
angular wavenumber,indirect property
aniline point,indirect property
API gravity,property
apparent power,indirect property
approximate total height,height
approximate total length,total length
approximate total width,width
approximately discharge time,indirect property
area,property
area charge,property
area heat flow rate,indirect property
arm length,straight linear distance
asymmetric peak withstand current,short-circuit current
atomic attenuation coefficient,property
atomic number,property
atomic weight,property
attenuation,ratio
attenuation coefficient,property
autogenous ignition temperature,ignition temperature
autoreclose interruption time,indirect property
autoreclose open time,indirect property
average energy loss per ion pair formed,indirect property
average height,height
average logaritmic energy decrement,indirect property
average wall thickness socket-welding end,wall thickness
avogadro constant,property
axial flow impeller diameter,impeller diameter
axial load,indirect property
back pressure,indirect property
background corrosion depth,indirect property
baffle cut,indirect property
baffle spacing,straight linear distance
basic thread major diameter,diameter
basic thread pitch diameter,diameter
baud rate,property
bend diameter,shape dimension
bending moment per length,property
bending stress,indirect property
beta disintegration energy,indirect property
beta ratio,indirect property
bevelled end inner bevel angle,indirect property
bevelled end inner bevel angle design,bevelled end inner bevel angle
bevelled end inner bevel thickness,thickness
bevelled end inner bevel thickness design,bevelled end inner bevel thickness
bevelled end outer bevel angle,indirect property
bevelled end outer bevel angle design,indirect property
bevelled end outside diameter,outside diameter
bevelled end outside diameter design,nominal outside diameter
bevelled end plain bevel angle,indirect property
bevelled end plain bevel angle design,bevelled end plain bevel angle
bevelled end root face thickness,thickness
bevelled end root face thickness design,bevelled end root face thickness
bevelled end wall thickness,wall thickness
