Unique name,superclass 1
2-valve manifold,valve manifold assembly
5-valve manifold,valve manifold assembly
absolute pressure transmitter,pressure transmitter
acceleration based vibration channel,monitor channel
accelerometer,detector
acetic acid analyser,analysing instrument
actuator,physical object
actuator stem,physical object
air flow meter,flow meter
air pressure regulator,pressure regulator
air pressure regulator and filter,pressure regulator
alarm signal processing circuit board,control circuit board
alarm unit,physical object
alignment instrument,detecting instrument
amca straightener,flow straightener
ampere-hour meter,electric measuring instrument
amperemeter,detecting instrument
amplifier circuit board,amplifier
analogue indicating instrument,indicating instrument
analogue operating instrument,process instrument
analogue signal input circuit board,input circuit board
analogue signal output circuit board,output circuit board
analogue temperature indicating instrument,analogue indicating instrument
analogue temperature indicator housing,temperature indicator housing
analogue to digital converter,signal converter
analysing instrument,detecting instrument
anemometer,detecting instrument
antenna,electromagnetic transducer
antisurge controller,electronic controller
areometer,detecting instrument
astatic instrument,process instrument
averaging pitot tube flow meter,pitot tube flow meter
axial displacement channel,monitor channel
axial displacement probe,detecting element
back pressure regulator,regulator
bell,physical object
bimetal temperature indicator,temperature indicator
bimetallic temperature element,temperature sensing element
bimetallic temperature gauge,temperature gauge
biplanar flange,instrument process flange
boiling point analyser,analysing instrument
bolted rupture disc holder,rupture disc holder
bourdon tube,pressure element
bourdon tube differential pressure gauge,differential pressure gauge
bourdon tube pressure gauge,pressure gauge
bull eye,sight glass
burner controller,electronic controller
burst alarm unit,alarm unit
bus controller,electronic controller
capacitance probe,detecting element
capacitive level transmitter,level transmitter
capacitive pressure element,pressure element
capillary temperature element,temperature sensing element
capillary temperature element armour,physical object
carbon dioxide analyser,analysing instrument
catalytic analyser,gas analyser
cause and effect chart,chart
chart,document
chart driving mechanism,physical object
chart recorder,recording instrument
chemical colorimetry analyser,analysing instrument
chemical seal diaphragm,diaphragm
chromatograph,analysing instrument
cloud point analyser,analysing instrument
communications controller,electronic controller
compressor unload valve actuator,valve actuator
computer,physical object
concentric hole orifice plate,orifice plate
condensation dew point analyser,dew point analyser
conductivity cell,detecting element
conductivity level transmitter,transmitter
conductivity meter,detecting instrument
conical concentric orifice plate,concentric hole orifice plate
conical orifice hole,hole
continuous line recorder,recording instrument
control box,terminal box
control cable,signal cable
control circuit board,transmitter
control element,physical object
control system,system
controller,regulator
coplanar flange,instrument process flange
coriolis mass flow meter,mass flow meter
corrosion meter,detecting instrument
corrosion probe,detecting element
coulometer,detecting instrument
counter,detecting instrument
cpu socket,interface card
current to current converter,signal converter
current to pressure converter,signal converter
current to voltage converter,signal converter
cylindrcal concentric orifice plate,concentric hole orifice plate
cylindrical antenna,antenna
dall tube,flow sensor
dall tube flow meter,differential pressure flow meter
densitometer,detecting instrument
density analyser,analysing instrument
detecting element,physical object
detecting instrument,process instrument
detector,physical object
detector base,electrical socket
dew point analyser,analysing instrument
diaphragm actuator,actuator
diaphragm casing,enclosure
diaphragm type gauge,pressure gauge
differential measuring instrument,process instrument
differential pressure cell,detecting element
differential pressure flow meter,flow meter
differential pressure gauge,gauge
differential pressure indicator,pressure indicator
differential pressure level transmitter,level transmitter
differential pressure meter,detecting instrument
differential pressure regulator,regulator
differential pressure switch,pilot switch
