Unique name,superclass 1
articulated bellows unit,piping bellows unit
articulated single bellows unit,articulated bellows unit
articulated twin bellows unit,articulated bellows unit
austenitic stainless steel pipe,steel pipe
axial grooving metal-loss,metal-loss feature
axial piping bellows unit,piping bellows unit
axial slotting metal-loss,metal-loss feature
backing ring,ring
bar clamp,physical object
basket strainer,strainer
bath tub strainer,strainer
bellows,physical object
bellows unit,physical object
bent pipe section,feature
bevel end pipe,pipe
bevelled end,pipe end
bevelled end pipe cap,butt welding pipe cap
blanking cap pipe union,physical object
blind flange,pipe flange
bolted pipe clamp,pipe clamp
bounded seal,pipe flange gasket
bridge plug,plug
bulkhead union,threaded nipple
bulldog slips,slips
butt welding elbolet,elbolet
butt welding end,pipe end
butt welding latrolet,latrolet
butt welding long radius pipe return,long radius pipe return
butt welding pipe,pipe
butt welding pipe cap,pipe cap
butt welding pipe cross,pipe cross
butt welding pipe reducer,pipe reducer
butt welding pipe tee,pipe tee
butt welding pipe union,pipe union
carbon steel pipe,steel pipe
casing crossover,combination pipe coupling
casing hanger,well string hanger
casing nipple,physical object
casing slips,slips
casing spool,physical object
casing spool bushing,physical object
casing spool flanged end,casing spool
casing spool hub end,casing spool
casing spool hub end outlet,casing spool
casing spool lockdown,casing spool
casing spool studded outlet,casing spool
casing spool threaded outlet,casing spool
cast iron pipe,pipe
chamfered end,bevelled end
christmas tree,physical object
circumferential grooving metal-loss,metal-loss feature
circumferential slotting metal-loss,metal-loss feature
clamp jaw,jaw
coiled tubing,pipe
collar slips,slips
combination pipe coupling,pipe coupling
compound bevel end,bevelled end
compound bevel end pipe,bevel end pipe
compression end,pipe end
concentric butt welding pipe reducer,butt welding pipe reducer
concentric flanged pipe reducer,concentric pipe reducer
concentric pipe reducer,pipe reducer
concentric swaged pipe nipple,swaged pipe nipple
concentric tubing hanger,tubing hanger
conductor housing,physical object
continuous-welded pipe,welded pipe
corroded feature,metal-loss feature
corrugated pipe,pipe
crack,feature
crossover,physical object
delta ring flange,pipe flange
delta ring gasket contact face,gasket contact face
double hub end pipe,hub end pipe
double jacketed gasket,jacketed gasket
double lever pipe clamp,lever pipe clamp
double slips casing hanger,casing hanger
drift mandrel,physical object
drill collar,threaded pipe
drill collar nonmagnetic,drill collar
drill pipe,threaded pipe
drill stem assembly,physical object
drill stem bit sub,drill stem sub
drill stem collar sub,drill stem sub
drill stem crossover sub,drill stem sub
drill stem lift sub,drill stem sub
drill stem lower kelly valve,drill stem sub
drill stem sub,physical object
drill stem swivel sub,drill stem sub
drill stem tool joint sub,drill stem sub
drill stem upper kelly valve,drill stem sub
drip ring,physical object
dual tubing hanger,tubing hanger
eccentric butt welding pipe reducer,butt welding pipe reducer
eccentric flanged pipe reducer,eccentric pipe reducer
eccentric pipe reducer,pipe reducer
eccentric swaged pipe nipple,swaged pipe nipple
eccentric tubing hanger,tubing hanger
elbolet,olet
electric welded pipe,welded pipe
electric-fusion-welded pipe,electric welded pipe
electric-resistance-welded pipe,electric welded pipe
