Unique name,superclass 1
abradable seal,mechanical seal
abradable static labyrinth seal,static labyrinth seal
activated sludge pump,pump
active magnetic bearing,bearing
active magnetic radial bearing,active magnetic bearing
active magnetic thrust bearing,active magnetic bearing
adapter seat,support
adjustable stator vane,stator vane
aerator,physical object
aero-derivative gas turbine,gas turbine
air blower,blower
air driven piston pump,piston pump
air motor,motor
air start system,pneumatic start system
air-powered pump,pump
air-powered pump,pump
alkaline pump,pump
anchor impeller,radial flow mixer impeller
angular contact ball bearing,ball bearing
anti friction bearing,bearing
archimedian screw,physical object
archimedian screw pump,rotary pump
auger extruder,extruder
automatic extraction back pressure steam turbine,extraction back pressure steam turbine
automatic extraction condensing steam turbine,extraction condensing steam turbine
auxiliary bearing,bearing
auxiliary connector,fluid connector
auxiliary gear box,gear box
auxiliary impeller,impeller
auxiliary impeller,pump impeller
auxiliary inlet,fluid inlet port
auxiliary outlet,fluid outlet port
axial blower,blower
axial compressor,dynamic compressor
axial diffuser,diffuser
axial fan,fan
axial flow mixer impeller,mixer impeller
axial flow pump,centrifugal pump
axial flow pump impeller,pump impeller
axial hydraulic reaction turbine,hydraulic turbine
axial piston pump,piston pump
axial turbine mixer,dynamic mixer
axially split casing,casing
back pressure steam turbine,steam turbine
back pull out pump,pump
back stop,physical object
back-up seal,seal
balance counter disc,disc
balance disc assembly,thrust balance assembly
balance disc sheet,physical object
balance drum ,physical object
balance drum assembly,thrust balance assembly
balance liner,liner
balance piston,piston
balance piston cover,cover
balance piston diaphragm,diaphragm
balance piston labyrinth seal,labyrinth seal
balance piston lock nut,lock nut assembly
balance ring,ring
balancing chamber,enclosure
balancing weight,physical object
ball bearing,rolling element bearing
bar turbine impeller,radial flow mixer impeller
barrel enclosure,enclosure
barrel mounted vertical pump casing ,pump casing
barrel section,section
barrier seal,compressor shaft end seal
base frame,support
bearing,physical object
bearing assembly,physical object
bearing bracket,bracket
bearing bushing,bush
bearing cap,cover
bearing carrier,support
bearing cartridge,bearing assembly
bearing circlip ring,ring
bearing cover,cover
bearing deflector,disc
bearing driven end,bearing
bearing head,bearing housing
bearing housing,enclosure
bearing housing end cover,cover
bearing housing end seal,seal
bearing housing O-ring,O-ring
bearing housing vent,vent
bearing lock nut,lock nut assembly
bearing lubrication ring,lubrication ring
bearing non-driven end,bearing
bearing non-driven end,bearing
bearing pad,physical object
bearing pad,support
bellow pump,positive displacement pump
bellow seal,mechanical seal
belt drive,transmission
belt driven pump,pump
belt driven pump,pump
between bearings type centrifugal pump,centrifugal pump
blower,physical object
boiler feed water pump,centrifugal pump
bolting assembly,physical object
booster station,system
borehole pump,pump
borehole reciprocating pump,borehole pump
borehole shaft driven centrifugal pump,borehole pump
bottom entry mixer,dynamic mixer
bowl centrifuge,centrifuge
bowl guide bushing,guide bushing
bowl pump casing,pump casing
bracket mounted pump casing,pump casing
brake,physical object
brazed impeller,impeller
bucket pump,rotary pump
bush,sleeve
cable pump,drawn fluid pump
cam,physical object
cam type lubricator,lubricator
camshaft,rotating machine shaft
canned motor centrifugal pump,sealless centrifugal pump
canned motor centrifugal pump stator can,enclosure
cantilever centrifugal pump,vertical centrifugal pump
capacity control system,control system
carbon ring barrier seal,barrier seal
carburettor,static mixer
cartridge mechanical seal,mechanical seal
casing,enclosure
casing connector,connector
casing cover,cover
casing drain,drain
casing drain,drain
casing gasket,gasket
casing internal lining,lining
casing jacket,jacket
casing joint bolting,special bolting
casing joint O-ring,O-ring
casing nut,nut
casing nut,nut
casing stud,stud
casing stud,stud
casing vent,vent
casing vent,vent
casing wear ring,wear ring
cast axially split casing,axially split casing
cast casing,casing
casted impeller,impeller
casted radially split casing ,radially split casing
caulking wire,wire
cavern pump,pump
cavern pump,pump
centering ring,ring
central casing,casing
centre-line mounted casing,casing
centrifugal blower,blower
centrifugal compressor,dynamic compressor
centrifugal pump,dynamic pump
centrifuge,physical object
chain pump,pump
charge pump,pump
chemical injection pump,positive displacement pump
circulating pump,pump
circumferential piston pump,piston pump
clearance pocket,casing
clearance seal,seal
close-coupled centrifugal pump,centrifugal pump
close-coupled pump,pump
close-coupled vertical inline pump,close-coupled pump
closed impeller,impeller
closed pump impeller,pump impeller
clutch,transmission
coal slurry pump,pump
coal washing pump,pump
collar,ring
collar packing,packing
column guide bushing,guide bushing
combined cycle gas turbine system,system
combustion engine,engine
compact gas seal,gas lubricated mechanical seal
compressor,physical object
compressor barrel,radially split casing
compressor casing,casing
compressor diaphragm,physical object
compressor foot,foot support
compressor impeller,impeller
compressor return channel,chamber
compressor seal system,seal system
compressor shaft end seal,mechanical seal
compressor station,system
compressor valve,non-return valve
concrete volute pump,centrifugal pump
condensate extraction pump,pump
condensate return pump,pump
condensate seal tank,tank
condensing steam turbine,steam turbine
connecting rod,physical object
connecting rod bearing cap,bearing cap
connecting rod cover,cover
connecting rod pin bushing,sleeve bearing
constant level oiler,lubrication system
controlled volume diaphragm pump,reciprocating controlled volume pump
controlled volume piston pump,reciprocating controlled volume pump
controlled volume plunger pump,reciprocating controlled volume pump
coolant pump,pump
cooling connector ,fluid connector
cooling water piping,piping system
cooling water piping system,piping system
cooling water pump,pump
coupling diaphragm,diaphragm
coupling driver half,hub
coupling guard,cover
coupling hub,hub
coupling lock nut,lock nut assembly
coupling spacer,spacer
cowling,cover
crankcase,casing
crankcase cover,cover
crankcase cover,cover
crankcase level gauge,level gauge
crankcase nuts,physical object
crankcase oil strainer,strainer
crankcase oil strainer,strainer
crankcase studs,bolting assembly
crankcase studs and nuts,bolting assembly
crankpin bearing,bearing
crankpin bearing bolt,bolt
crankpin bearing bolting,bolting assembly
crankshaft,rotating machine shaft
crankshaft axial bearing,thrust bearing
crankshaft counterweight,physical object
