Unique name,superclass 1
actuated valve,operated valve
actuator yoke,valve yoke
adjustable choke valve,choke valve
adjustable flow control valve with bypass,flow control valve
air release valve,float valve
angle check valve,angle valve
angle control valve,angle valve
angle globe valve,angle valve
angle valve,valve
angle valve 45 degree,angle valve
angle valve 60 degree,angle valve
angle valve 90 degree,angle valve
angle valve body,valve body
anti cavitation control valve,control valve
anti-blowout stem,valve stem
austenitic stainless steel ball valve,austenitic stainless steel valve
austenitic stainless steel gate valve,austenitic stainless steel valve
austenitic stainless steel valve,steel valve
axial piston valve,piston valve
axial valve disc,globe valve closure member
axial valve stem,valve stem
backpressure regulator valve,valve
balanced relief valve,pressure relief valve
balanced relief valve combined,balanced relief valve
balanced relief valve using bellows,balanced relief valve
balanced relief valve using piston,balanced relief valve
balanced valve bellows,physical object
balanced valve piston,physical object
ball check valve,lift check valve
ball type globe valve disc,globe valve closure member
ball valve,rotary valve
ball valve body,valve body
ball valve bonnet,valve bonnet
ball valve closure member,valve closure member
ball valve stem seal,valve stem seal
barstock valve,valve
barstock valve body,valve body
bellow sealed gate valve,gate valve
bevelled disc,globe valve closure member
bi-directional valve,valve
bleed valve,valve
blending valve,valve
blind ram,ram
block and bleed valve,block valve
block valve,valve
blow down valve,valve
blow off valve,valve
bolted ball valve bonnet,bolted valve bonnet
bolted body ball valve,split body ball valve
bolted gate valve bonnet,bolted valve bonnet
bolted split ball valve body,split ball valve body
bolted valve bonnet,valve bonnet
bolted valve bonnet cap,valve bonnet cap
bolted valve gland,valve gland
bolted valve nozzle,valve nozzle
bottom entry ball valve,one piece ball valve
butterfly control valve,butterfly valve
butterfly valve,rotary valve
butterfly valve body,valve body
butterfly valve closure member,valve closure member
bypass valve,valve
cage guided globe valve,globe valve
cage guided piston valve,cage guided globe valve
cage guided valve,plug valve
cage trim,physical object
cage trim control valve,control valve
check valve,valve
check valve body,valve body
check valve closure member,valve closure member
check valve disc,check valve closure member
choke valve,valve
clamp gate valve,gate valve
compact gate valve,gate valve
composition disc globe valve,disc globe valve
conduit gate valve,gate valve
conduit rising stem gate valve,through conduit gate valve
conduit valve,valve
cone valve,valve
control valve,valve
conventional relief valve,pressure relief valve
conventional safety relief valve,pressure relief valve
conventional swing check valve,swing check valve
cryogenic control valve,control valve
cryogenic valve,valve
deluge valve,control valve
deluge valve with afff,deluge valve
depressurising valve,valve
diaphragm check valve,check valve
diaphragm valve,membrane valve
diaphragm valve body,valve body
diaphragm valve bonnet,valve bonnet
diaphragm valve closure member,valve closure member
differential pressure regulator valve,valve
directional solenoid valve,solenoid valve
disc globe valve,globe valve
diverter valve,valve
double ball check valve,ball check valve
double block and bleed valve,block and bleed valve
double block valve,block valve
double disc butterfly valve,butterfly valve
double disc globe valve,disc globe valve
double expanding wedge gate,wedge gate
double seated globe valve,globe valve
double seated valve,valve
