Unique name,superclass 1
abandoning,giving up
abating,reducing
aborting,terminating
abrasing,wearing
absorbing,sucking
accelerated underreach protection,unit protecting using telecommunication
accelerating,increasing
acceptance testing,electrical rotating machine testing
accepting,receiving
accommodating,providing
according,agreeing
accounting,acting
accumulating,increasing
achieving,attaining
acid and earth treatment,purifying
acid corrosion,corroding
acid gas removing,gas treating
acidifying,making
acidising,acidifying
acidulating,acidifying
acknowledging,agreeing
acquiring,getting
actagene conversation,performative conversation
acting,activity
activating,increasing
actuating,increasing
acylating,adding-acting
adapting,changing
adaptive controlling,controlling
adding-acting,acting
adding-computing,computing
additive depleting,depleting
adhering,sticking
adhesive bonding,bonding
adjoining-acting,joining
adjoining-being,lieing
adjusting,changing
administering,managing
admitting,allowing
adsorbing,activity
advanced controlling,controlling
advertising,calling
advising,informing
aerating,process
aerobic digesting,biotreating
affirming,activity
ageing,treating
agglomerating,collecting
aggregating,collecting
agitating,disturbing
agreeing,accepting
air conditioning,conditioning
alarming,warning
alcoholising,treating
alerting,informing
aligning,positioning
alkalinising,making
alkylating,adding-acting
allocating,apportioning
allowing,accepting
alloy verfication,non-destructive testing
allylating,adding-acting
altering,changing
alternating,changing
aluminating,process
amine treating,gas treating
ammoniating,process
amplifying,increasing
analysing,studying
anearobic digesting,biotreating
anemometry,flow measurement
annealing,treating
announcing,informing
anodising,process
anti surge controlling,process controlling
appearing,coming
appending,adding-acting
applying,using
appointing,establishing
apportioning,assigning
appraising,judging
appropriating   ,assigning
approving,agreeing
arbitrating,acting
arc welding,welding
architecting,designing
archiving,storing
aromatising,treating
arranging,putting
arresting,stopping
arriving,terminating
arsenicating,treating
arsonating,inserting
asking,calling
asphyxiating,poisoning
assembling,composing
assessing,analysing
assigning,appointing
assisting,supporting
assuring,making
atmospheric distillation,distilling
atmospheric storage,storing
atomising,transforming
attaching,making
attaining,arriving
attempting,acting
attending,being
attenuating,decreasing
attesting,affirming
attriting,wearing
auditing,verifying
augmenting,increasing
authorising,supporting
automatic monitoring,monitoring
automatic reclosing,closing
automatic supervising,supervising
automatic testing,automatic supervising
automating,converting
averaging,determining-obtaining
awarding,assigning
backfilling,refilling
backing up,protecting
backup protecting,electrical protecting
baffling,deflecting
bagging,putting
baking,subjecting
balance testing,electrical rotating machine testing
balancing,equalising
baling,bundling
ballasting,loading
banking,business process
barring,blocking
basic controlling,controlling
basic engineering,engineering
batch blending,blending
batch controlling,process controlling
batch processing,processing
batching,collecting
batchwise operating,operating
bathymetry,measuring
beaming,sending
bearing-activity,supporting
becoming,changing
beginning,executing
behaving,activity
being,activity
belling,alerting
benchmarking,evaluating
bend testing,destructive testing
bending,deforming
berthing,bringing
bid evaluation,evaluating
bidding,offering
bifurcating,splitting
billing,submitting
binding,joining
biotreating,treating
bitumen blowing,blowing
black-band testing,commutation testing
blanketing,covering
blasting,employing
blazing,burning
bleaching,removing
bleeding,emptying
blend property ratio controlling,ratio controlling
blending,mixing
blinding,covering
blistering,changing
blocking,holding-restraining
blocking overreach protecting,unit protecting using telecommunication
blocking protecting,electrical protecting
blowing,driving
blowing off,ejecting
blowing out,clearing
blowing up,destroying
bodying,increasing
boiling liquid expanding vapour exploding,exploding
boiling off,removing
boiling over,spilling
boiling-evaporating,evaporating
boiling-heating,heating
bolting,joining
bonding,connecting
boosting,increasing
bracing,joining
braiding,arranging
braking,reducing
brazing,soldering
breaking,splitting
breaking up,decomposing
breathing,moving
breeding,transforming
brewing,process
bridging,connecting
bringing,moving
brittle fracturing,fracturing
broadcasting,sending
browsing,scanning
brushing,removing
bubbling,moving
buchholz protecting,transformer protection
buckling,fastening
budgeting,planning
buffering,storing
building,forming
bulking,gathering
bulldozing,moving
bundling,collecting
bunkering,filling
buoying,floating
burning,reacting
bursting,breaking
business process,processing
buying,getting
buzzing,alerting
bypassing,passing-transferring
calcifying,making
calcining,treating
calculating,determining-obtaining
calibrated driving machine testing,electrical rotating machine testing
calibrating,adjusting
calipering,measuring
calling,communicating
calorimetric testing,electrical rotating machine testing
calorising,treating
cancelling,removing
cannibalising,dismantling
canopying,covering
capacitating,making
capping,covering
capturing,obtaining
carbon arc welding,arc welding
carbonating-adding,adding-acting
carbonating-converting,converting
carbonising,converting
carbureting,enriching
carburizing,process
caring,acting
carrier feeder protecting,relay protection
carrying,moving
carrying out,acting
cascade process,processing
cascading,connecting
catalising,accelerating
cataloging,recording
catalytic cracking,cracking
catalytic dewaxing,dewaxing
catching,getting
categorising,assigning
catering service,serving-acting 
causing,bringing
cavitating,wearing
ceasing,terminating
cementing,joining
centering,placing
centrifuging,separating
certifying,attesting
chaining,arranging
changing,making
changing over,converting
changing over a relay,changing over
channeling,conveying
characterising,describing
charging,loading
charging a battery,charging
charting,making
checking-limiting,limiting
checking-verifying,verifying
chemical engineering,engineering
chemical injecting,injecting
chemical processing,processing
chemical reacting,reacting
chemical to mechanical energy conversion,energy conversion
chilling,cooling
chiming,alerting
chloridising,treating
chlorinating,treating
choking,constraining
choosing,activity
chromatography,analysing
chuting,conveying
circuit local backup protecting,backup protecting
circuit-breaker failure protecting,electrical protecting
circulating,moving
civil engineering,engineering
cladding-activity,covering
claiming,demanding
clamping,fastening
clarifying,making
classifying,categorising
claus process,sulphur recovery
cleaning,removing
cleaning service,serving-acting 
cleaning up,relieving
cleansing,cleaning
clearing,removing
clearing away,removing
clicking on,connecting
climbing,going
clipping,cutting off
clocking,determining-obtaining
clogging,obstructing
closed transport,transporting
closing,acting
closing down,stopping
clustering,collecting
coagulating,process
coalescing,joining
coating-activity,covering
coding,describing
co-extruding,extruding
co-generating,generating
cohering,holding-having
coiling,winding-turning
coinciding,occupying
coke deactivation,deactivating
coke formation,forming
coking,converting
cold pressing,forming
cold start up,starting up
cold welding,solid state welding
collecting,gathering
colloiding,converting
colorimetry,analysing
colour coding,encoding
colouring,changing
combined heat and power generation process,generating
combining,joining
combusting,burning
combustion controlling,process controlling
coming,moving
commanding,controlling
commercial road transport,road transport
commercialising,managing
commissioning,bringing
commissioning testing,electrical rotating machine testing
committing,consigning
commodity testing,non-destructive testing
communicating,exchanging
commutation testing,electrical rotating machine testing
compacting,pressing
compaction of ground,compacting
comparing,examining
compensating,adjusting
competing,activity
competitor product analysis,analysing
compiling,collecting
completing,terminating
complying,conforming
composing,arranging
compounding,combining
compressing,pressurising
computer aided design,designing
computer aided draughting,drawing-draughting
computer aided engineering,engineering
computer service,serving-acting 
computing,determining-obtaining
concatenating,uniting
concealing,hiding
conceiving,forming
concentrating,making
conceptual design,designing
conceptual engineering,engineering
conceptual process design,process design
concuring,acting
condense separation,physical separation
condensing-chemical reaction,chemical reacting
condensing-concentrating,concentrating
condensing-phase transition,phase transition
condition-based maintenance,maintaining
conditioning,treating
conducting,conveying
conference management,managing
configuring,arranging
confining,holding-restraining
confirming,stating
conforming,being
congealing,transiting
congesting,constraining
conglomerating,collecting
conglutinating,cohering
connecting,joining
conserving,preserving
consigning,activity
consolidating,uniting
constraining,limiting
constraint controlling,process controlling
constricting,acting
constructing,making
construction testing,testing
consuming,using
contacting,touching
containing,holding-restraining
contaminating,inserting
continuing,resuming
continuous actuation,actuating
continuous operation,operating
continuous service testing,testing
contouring,shaping
contracting,agreeing
contracting out,removing
contrasting,differing
contriving,creating
control engineering,engineering
controlling,influencing
convecting,transferring
converging,moving
conversing,communicating
conversion controlling,process controlling
conversion of electricity,converting
converting,changing
conveying,transporting
cooking,treating
cooling,extracting
coordinating,regulating
copying,making
core testing,electrical rotating machine testing
correct operation,operating
correct operation of protecting,correct operation
correcting,changing
corrective maintenance,maintaining
corresponding,conforming
corroding,wearing
corrosion protecting,surface protection
corrugating,shaping
cost accounting,accounting
cost estimating,estimating
cost reduction,reducing
costing,causing
counterbalancing,opposing
counterbracing,bracing
counting,computing
coupling,connecting
covering,shielding
cracking,breaking up
crating,packing-covering
creating,making
creep embrittlement,embrittling
creep rupture,rupturing
creeping,degrading
crevice corrosion,corroding
crude valuation,assessing
crushing,destroying
crystallising,forming
cumulating,enlarging
custody transfer,transferring
customer care,caring
customising,adapting
cutting,separating
cutting off,stopping
cyanide corrosion,corroding
cycling,acting
cycling a relay,cycling
cyclonic separation,gravity separation
damaging,causing
dampening,reducing
darkening,reducing
deacetylating,removing
deacidifying,removing
deactivating,changing
deaerating,treating
dealkalising,removing
dealkylating,removing
deamidating,removing
deaminating,removing
deashing,removing
debenzylating,removing
debottlenecking,revamping
debugging,correcting
decalcifying,removing
decanting,separating
decarbonating,removing
decarboxylating,removing
